[2022-03-31 10:19:20,194][train.py][line:20][INFO] net:GCN_2(7, 20, 20)	 criterion:L1Loss()	 optimizer:Adam(1e-3)
[2022-03-31 10:19:20,194][train.py][line:21][INFO] avrbound:0.1	 latencylimit:5
[2022-03-31 10:19:20,194][train.py][line:22][INFO] clear to train
[2022-03-31 10:38:28,395][train.py][line:63][INFO] Test:	 avrbaccu=0.858077	 acc=0.946354	 missaccu=0.001308
[2022-03-31 10:38:44,117][train.py][line:47][INFO] Epoch:[62/100]	 avrbaccu=0.748673	 acc=0.929192	 missaccu=0.062159
[2022-03-31 10:38:44,672][train.py][line:63][INFO] Test:	 avrbaccu=0.850883	 acc=0.941909	 missaccu=0.001308
[2022-03-31 10:39:00,332][train.py][line:47][INFO] Epoch:[63/100]	 avrbaccu=0.749328	 acc=0.929218	 missaccu=0.061868
[2022-03-31 10:39:00,861][train.py][line:63][INFO] Test:	 avrbaccu=0.866579	 acc=0.944839	 missaccu=0.001308
[2022-03-31 10:39:16,670][train.py][line:47][INFO] Epoch:[64/100]	 avrbaccu=0.747365	 acc=0.928928	 missaccu=0.061360
[2022-03-31 10:39:17,214][train.py][line:63][INFO] Test:	 avrbaccu=0.867233	 acc=0.946845	 missaccu=0.001308
[2022-03-31 10:39:32,930][train.py][line:47][INFO] Epoch:[65/100]	 avrbaccu=0.750200	 acc=0.929062	 missaccu=0.062377
[2022-03-31 10:39:33,469][train.py][line:63][INFO] Test:	 avrbaccu=0.846959	 acc=0.939103	 missaccu=0.001308
[2022-03-31 10:39:49,244][train.py][line:47][INFO] Epoch:[66/100]	 avrbaccu=0.748310	 acc=0.928924	 missaccu=0.062886
[2022-03-31 10:39:49,802][train.py][line:63][INFO] Test:	 avrbaccu=0.846959	 acc=0.943271	 missaccu=0.001308
[2022-03-31 10:40:05,637][train.py][line:47][INFO] Epoch:[67/100]	 avrbaccu=0.748528	 acc=0.928855	 missaccu=0.063395
[2022-03-31 10:40:06,148][train.py][line:63][INFO] Test:	 avrbaccu=0.829954	 acc=0.943099	 missaccu=0.001308
[2022-03-31 10:40:21,919][train.py][line:47][INFO] Epoch:[68/100]	 avrbaccu=0.748092	 acc=0.929071	 missaccu=0.063468
[2022-03-31 10:40:22,448][train.py][line:63][INFO] Test:	 avrbaccu=0.862655	 acc=0.945690	 missaccu=0.001308
[2022-03-31 10:40:38,253][train.py][line:47][INFO] Epoch:[69/100]	 avrbaccu=0.747001	 acc=0.928999	 missaccu=0.062668
[2022-03-31 10:40:38,781][train.py][line:63][INFO] Test:	 avrbaccu=0.854153	 acc=0.944427	 missaccu=0.001308
[2022-03-31 10:40:54,534][train.py][line:47][INFO] Epoch:[70/100]	 avrbaccu=0.748601	 acc=0.929406	 missaccu=0.062886
[2022-03-31 10:40:55,064][train.py][line:63][INFO] Test:	 avrbaccu=0.835840	 acc=0.941462	 missaccu=0.001308
[2022-03-31 10:41:10,940][train.py][line:47][INFO] Epoch:[71/100]	 avrbaccu=0.749182	 acc=0.929037	 missaccu=0.063468
[2022-03-31 10:41:11,460][train.py][line:63][INFO] Test:	 avrbaccu=0.827992	 acc=0.943190	 missaccu=0.001308
[2022-03-31 10:41:27,539][train.py][line:47][INFO] Epoch:[72/100]	 avrbaccu=0.749037	 acc=0.929251	 missaccu=0.064122
[2022-03-31 10:41:28,108][train.py][line:63][INFO] Test:	 avrbaccu=0.844997	 acc=0.946456	 missaccu=0.001308
[2022-03-31 10:41:44,590][train.py][line:47][INFO] Epoch:[73/100]	 avrbaccu=0.749909	 acc=0.929322	 missaccu=0.063104
[2022-03-31 10:41:45,159][train.py][line:63][INFO] Test:	 avrbaccu=0.831262	 acc=0.939464	 missaccu=0.001308
[2022-03-31 10:42:01,410][train.py][line:47][INFO] Epoch:[74/100]	 avrbaccu=0.748746	 acc=0.929337	 missaccu=0.063177
[2022-03-31 10:42:01,990][train.py][line:63][INFO] Test:	 avrbaccu=0.861347	 acc=0.947328	 missaccu=0.001308
[2022-03-31 10:42:18,407][train.py][line:47][INFO] Epoch:[75/100]	 avrbaccu=0.750563	 acc=0.929522	 missaccu=0.063468
[2022-03-31 10:42:18,971][train.py][line:63][INFO] Test:	 avrbaccu=0.852845	 acc=0.948050	 missaccu=0.001308
[2022-03-31 10:42:35,363][train.py][line:47][INFO] Epoch:[76/100]	 avrbaccu=0.751727	 acc=0.929290	 missaccu=0.063250
[2022-03-31 10:42:35,943][train.py][line:63][INFO] Test:	 avrbaccu=0.850229	 acc=0.944380	 missaccu=0.001308
[2022-03-31 10:42:52,319][train.py][line:47][INFO] Epoch:[77/100]	 avrbaccu=0.749182	 acc=0.929592	 missaccu=0.063104
[2022-03-31 10:42:52,877][train.py][line:63][INFO] Test:	 avrbaccu=0.828646	 acc=0.939098	 missaccu=0.001308
[2022-03-31 10:43:09,257][train.py][line:47][INFO] Epoch:[78/100]	 avrbaccu=0.750854	 acc=0.929516	 missaccu=0.063468
[2022-03-31 10:43:09,860][train.py][line:63][INFO] Test:	 avrbaccu=0.844343	 acc=0.948096	 missaccu=0.001308
[2022-03-31 10:43:26,251][train.py][line:47][INFO] Epoch:[79/100]	 avrbaccu=0.750127	 acc=0.929416	 missaccu=0.064704
[2022-03-31 10:43:26,858][train.py][line:63][INFO] Test:	 avrbaccu=0.838457	 acc=0.941056	 missaccu=0.001308
